ID,dyu,fr
ID_17334775337332,ni kado ni ye ele ni nne ta ye.,ce cadeau est à toi et à moi.
ID_17761297338417,ɲiningali te nin ye.,ce n’est pas la question.
ID_17858473733998,nin bi se ka min kɛ,ce que cela peut faire ?…
ID_17418810343976,anw be ɲɔgɔnw kalan.,"nous, nous lisons."
ID_18006429345312,i bi na subagaya ko juma le kɛ,quel charlatan tu ferais !…
ID_17323953346647,awɔ kuma ɲanama lo wɛ.,belle proposition en effet
ID_18022387347915,o k'a bugɔ fo ka tɛmɛ.,il a été très frappé.
ID_18644156349617,i be se ka n ka dudu minɛ wa?,tu peux tenir mon doudou?
ID_19320684735089,dɔgɔcɛ be deliponti bolo.,delliponti a un petit frère.
ID_18481425352045,biwɔrɔ ni tan ni kelen,soixante et onze.
ID_17681903353156,n bi na sira kɛ seen na.,je ferai la route à pied.
ID_18720313354224,a bi na kan labɔ tumawɛrɛ,bientôt il éleva le ton.
ID_18686625735531,an bina italiyen dumuni dumu.,on se fait un italien?
ID_19840528360127,a ko a b'a yɛrɛ bila ka timi dɛ.,"quelle négligence, se dit-il."
ID_19794889363863,a ma sɔn o ma.,ça ne compte pas.
ID_18006215365289,n t'a famu na.,je ne comprends pas !…
ID_18925301736647,a ka sigilan ye brukig ye,son siège est brookings.
ID_18000476.73679,miselin ka bɛ ɲafɔ nn ɲana,micheline m’a tout dit.
ID_18186671369447,i le lo ka fɔ ko i bi na n kɔnɔ,tu avais promis de m’attendre.
ID_17437515370722,n bi taga salɛm sini wulafɛ,je pars à salem demain soir.
ID_19864356371867,saraya bi a la,elle est admirable.
ID_17973552737304,a suma ni bɛ dɛ.,que c’est froid !
ID_18421065374182,a tun be tulo kɛ no ye,il jouait avec eux.
ID_19304679375252,a ka laban bila a la samiɲatuman na.,il met fin à sa saison.
ID_17430884376475,a be mɔgɔ fɛ ɲanaman.,vous êtes très aimable.
ID_18602527378304,so ni be panna.,la jument bondit.
ID_19790140382352,muso juman le ye nin ye?,quelle est cette femme?
ID_17823503383525,an ka dasi fila filɛ nin ye.,voilà vos deux francs …'.
ID_17759390384694,a ma foyi lɔn.,elle ne sait jamais rien !
ID_17437505738583,vɔyaji kun be di le ?,comment était le voyage ?
ID_19960529738696,duniya ka jan tuma dɔ la.,la vie est parfois si longue.
ID_17385076388096,bon nunu kɔnɔ.,dans les maisons.
ID_17814898389598,puɛn fila fɔlɔ.,deux points d’avance.
ID_17436800739078,sɛnkɛri lo be yi,il est cinq heures.
ID_17333126391868,i kɔrɔmuso tɔgɔ be di?,comment s'appelle votre sœur ?
ID_17334946393157,miniti kelen biloru.,une minute cinquante.
ID_17406207394269,a cɛ ma ɲi.,il ne fait pas beau.
ID_18077281395513,n dusukun tun degun na.,j'avais le cœur serré.
ID_18022638739966,nn darala ko a tun bi na diya i ye,je suis sûr qu’il aurait aimé.
ID_18602514400465,somuso panna.,la jument bondit.
ID_18073625401073,taaga! nn b'i gwɛna,va-t’en ! je te chasse.
ID_18085070401662,a bi se ka boyi.,il peut donc être retiré.
ID_18576522402227,ɛsk ele y'i ka kalandenw sɔrɔ wa?,t'as eu des étudiants toi?
ID_18727683402923,a ka gwɛlɛ,c’est difficile.
ID_18252480403526,a be kumana telefoni na,il parle dans le téléphone.
ID_18653154740423,cɛ toyi! yɛrɛ don bali lo,audace n'est pas déraison
ID_17731781404912,a fɔ mɔgɔ duuru nun nu ɲana,dis-leur à tous les cinq.
ID_17333039405477,aa kungolo saaba,vos trois têtes.
ID_17343822740609,fo n be se a yɔrɔla,il faut que j'y arrive.
ID_18143504406635,a lajabi ni yɛrɛ faga ye,il répond malaisément.
ID_17353777407184,kongo sogo nɛrɛmuguma dɔ filɛ,un autre animal jaune.
ID_18420968407722,zipu suguya bɛ,une jupe quelconque.
ID_18031566408266,nne ye parantɛsu datugu.,je clos la parenthèse.
ID_17358537409098,ɛsk n ka sumanikɛfɛn di ma wa?,je vous ai donné la balance ?
ID_18420423409787,boon tan ni wolofila,dix-sept maisons.
ID_17409553741044,londres be n ka sii yɔrɔ ye,j'habite à londres.
ID_19485650410996,a sigila layɔrɔ da kuna,il s’assit près du lit.
ID_18055554741154,n be boli ka n teriw hakili sigi,je cours rassurer nos amis.
ID_18301296412078,a bi nana wa?,est-ce qu’il viendra ?
ID_19679926412622,a sara milana.,il est mort à milan.
ID_18905431413156,a be famu,c’est compréhensible.
ID_17310429413692,aw ka kan ka jati minɛ,il faut en tenir compte.
ID_17761330414222,a be tan le lonbɛ yan,c’est toujours comme ça ici ?
ID_18118948414834,aw ka lɔn joli le be nin ye wa?,vous savez combien il coûte ?
ID_18173557415485,n ti mɔgɔ si kɔnɔ na.,je n’attends personne.
ID_18027672416115,nin te tulonkɛ fen ye,ce n’est pas d’un jeu.
ID_17350233416663,ka n'a bugɔ,ne le frappez pas.
ID_17361239417195,n bi na aw ye kɔfɛ.,je vous verrai plus tard.
ID_17321759741779,n ma la a la.,je n’en suis pas sûre
ID_18020863418368,sigilan karila,la chaise est cassée.
ID_18899384741929,ni an tun ye pidiza kɔmande do,et si on commandait une pizza?
ID_17358536419908,i ka lon cogo mina o bi gwakɛ?,vous savez comment cuisiner ?
ID_18047036420523,i baleman muso fɛ,j’aimerais ta sœur.
ID_18420420421076,saan tun finna.,le ciel était sombre.
ID_17346576421625,aw be baara juman le la.,quel métier faites-vous ?
ID_18064778422268,i be na sogo dɔ ta tuguni wa?,tu reprendras de la viande ?
ID_18607133422817,a bi sufri kalivisi la.,il souffre de calvitie.
ID_18694129423346,i b'a famuna sisan wa?,"tu comprends, maintenant?"
ID_18419983423875,papiliɔn deni,un tout petit petit papillon.
ID_17861581742448,marcof tun ye a lamagalamagali la lɔ,marcof les calma du geste.
ID_17362696425027,kitabuw do?,où sont les livres ?
ID_18231513425563,n bo le natala,"en tout cas, je le souhaite."
ID_18124160426095,n be na feen fila jatiminɛ,je ferai deux remarques.
ID_17358576426708,u lɔn ka tɛmɛ,ils sont extrèmement connus.
ID_19096398742728,kititigɛbagaw tɔw tun kɛrɛnkɛrɛnla mɔgɔw bolo,les autres juges étaient élus.
ID_17364533427917,a daminnɛ ma ɲɛ,cela commence mal
ID_18007108742847,aa ni teri ni ye teri ɲuman le ye dɛ!,mais cet ami est sacré.
ID_17823643429342,a ka ko dɔ fɔ,il a dit quelque chose ?
ID_18718652429929,sizo be n boro,j’ai une paire de ciseaux.
ID_17366616430475,an ga mɔgɔw bila makɔnɔlila,on fait attendre les gens.
ID_18693155743101,nɔnɔ litri demi,un demi litre de lait
ID_17527805431545,a ɲana kɔsɔbɛ,c’est assez bon.
ID_19910635432082,a be donna pari djamanana foyi t'a bolo.,"ruiné, il rentre à paris."
ID_17378398432618,den joli le ?,combien d'enfants ?
ID_18006958743315,n yala a be angilɛ kan fɔ wa?,vous parlez anglais ?
ID_17507684433844,koo ɲafu ɲafu.,n’importe quoi !
ID_17672217434468,musuw ko ma d'an ye le tuguni wa,il n’aime donc pas sa femme ?
ID_17490230435033,an tun bi tagala,nous étions en train d'aller.
ID_17409875435622,fugulan b'o kelen kelen bɛ kun na,ils ont chacun un chapeau.
ID_17788843436218,a cɛjuguni filɛ!,qu’est-ce que c’est mauvais !
ID_17470636436776,kulɛri juman le?,de quelle couleur il est ?
ID_18420983437322,"mariamou, musu mi n'a ma cɛ don",la vierge marie.
ID_17406946437866,bonni bi na diya i ye dɛ.,cette maison te plaira.
ID_17358499743844,o lugu o k'a kanu,"elles, elles ont aimé."
ID_17355458439315,i lanibala ko i bi n'a kanou wa ?,tu es sûr que tu aimeras.
ID_17358637440004,anw be bara kɛ min?,où travaillez-vous ?
ID_17410816440562,n te fɛ ka taga.,je ne veux pas partir.
ID_17404531441113,a tagara.,elle est partie.
ID_18122137441654,yal'a ka dumini kɛ ɲɔgɔn fɛ wa,vous avez mangé ensemble ?
ID_17358832442195,aw ka lɔn cogo juman?,comment le savez-vous ?
ID_17361227442737,jɔn ka tur lo ka tulon kɛ?,c'est à qui de jouer ?
ID_17739049443283,a sigila tuguni o kɔfɛ a ye a bolo filaw minɛ ɲongonma,"il se rassit, croisa les bras."
ID_17358497443824,i lanibala k'a tun diara i ye wa?,tu es sûr que tu aimas.
ID_18252900444425,an bi se ka an hakili sigi,nous y serons attentifs.
ID_19818992445018,barakɛyɔrɔ le.,c'est un centre industriel.
ID_17333022445648,denmisɛnw aw ye na dumuni kɛ.,"les enfants, venez manger."
ID_18576273446187,o b'a tanuna.,ils la complimentaient.
ID_18818274446723,a be bɔ kini fɛ.,il sort par la droite.
ID_18021248447343,a be sɔgɔsɔgɔla tuguni.,il toussa encore.
ID_18052767447877,kungolola ani dusukunna.,dans la tête et le cœur.
ID_17354401448409,aw ye ɲamɔgɔ boɲɛ.,respectez le ministre
ID_18110360449121,nin bɛgɛnkolon lo ye.,quel stupide animal !
ID_17418424449694,an ti na kuma foyi fɔ ni koni na tugun.,pas un mo sur ça.
ID_18402775450244,sama den naani.,quatre éléphants.
ID_18684386745079,n k'o ka ciikan sɔrɔ sɔgɔma.,j'ai reçu leur offre ce matin.
ID_18054468745143,i ba laban la tile biduuru,tu le traites quinze jours…
ID_18078452451982,ole cɔ n baw barikadala.,"c’est exact, je vous remercie."
ID_18476833452528,a ye don a ye sigi.,"entrez, asseyez-vous."
ID_17323282453084,ni bɛ ye sigɛni ko le ye o.,tout cela est aléatoire.
ID_17303156745368,o ma sɔn a la.,il a été refusé.
ID_18475140454267,an be jigɛw minɛ ni jɔrɔkɔw ye.,nous pêchions avec des filets.
ID_17413004454896,a min tiena fo ka tɛmɛ,le plus rouillé.
ID_18407278455444,sama binaani ni naani,quarante-quatre éléphants.
ID_18032265455974,n tɔgɔ ye john smith,je m’appelle john smith.
ID_18080319745651,nin ma deri ka kɛ,cela n’a jamais vu le jour.
ID_17676008745714,baba grelys denmuso,la fille au père greluche !
ID_17717456.74577,ka na to ki' kun kɛ ni togoya ni na,cesse de faire la tête !
ID_17332264458253,n dalebala k'a ba kanu,je suis sûr qu'on aime.
ID_17511089458901,mu le kɛra?,qu’est-ce qui s’est passé ?
ID_18466464745946,o ya,leur.
ID_17842798746003,wagati kunkuruni di n man,accordez-moi un petit moment.
ID_18492451460554,a ma ben a ye a kan kɔrɔta n'a ye,pas possible ! s'écria-t-elle.
ID_17589780461143,a keleen tɛ,ce n’est pas la seule.
ID_18060906461681,a ye jigini sɔrɔ wagati la,il a obtenu une prolongation.
ID_18173400746221,i muso teyi tuguni le wa,votre femme n’est plus là ?
ID_18765086462864,ne bi aw kɔnɔna,"moi, je vous attends."
ID_17467867.74634,badenmuso fila le bi n bolo.,j'ai deux sœurs.
ID_18848707746394,a n kɛra sɔrɔbagaw cɛ !,"eh bien, j’ai gagné !…"
ID_18666815464547,a ɲadenw fanin be kasi la.,elle fondit en pleurs.
ID_18540090465098,isa ma sɔn ko mɔgɔ wɛrɛ ye jalaki.,jésus défend d'accuser autrui.
ID_17359166465644,i lanibala k'a diara anw ye wa ?,tu es sûr que nous aimions.
ID_18116396466178,a ye finɛtri kari.,il a brisé la fenêtre.
ID_17365049466717,gari bi yɔrɔ juman le?,où est la gare routière ?
ID_17528367467256,ji te anw fɛ.,on manque d’eau.
ID_18169786467797,wa i k'o nɛni.,et tu les as insultés.
ID_17515332746842,a be sɛbɛnan ɛl la.,mais dans l’article l.
ID_19083616469094,a cɛɲani no kosɔbɛ,elle est richement dotée.
ID_17379336746965,i lanibala ko a diala i ye wa,tu es sûr qu'ils aimaient.
ID_18475218470188,ji kaɲi ka bɔn fɛrɛla feenw la,il faut arroser ces plantes.
ID_17343742470722,a ye nin kitabu ni faa sɛbɛra,remplissez ce formulaire.
ID_17427817747125,a ba yɛrɛ sɔrɔla kɔsɔbɛ,il s'en tire bien.
ID_18466457747183,n'a tun ka jigɛ ɲini jira,si elle pêchait.
ID_17337128472384,a bi na da ɲɛlɛ wagati juma,quand ouvrez-vous la porte ?
ID_18497582472963,ni o lo n bi na n lafiɛn bi,annule. je prends ma journée.
ID_18729979747354,a bi lamɛnikɛ o kɔ fɛ a bi la batoni kɛ,il écoute et il obéit.
ID_18456418474177,a ko dira n ye kosɔbɛ,elle me plaît bien à moi.
ID_18063972474794,i lanibala ko a bi na kanu wa?,tu es sûr qu’elle aimera.
ID_17759392475336,a ka a yɛrɛ bɔ a ra,il s’est retiré.
ID_17365699747587,a bi na bɛɛn wa,c'est possible ?
ID_17365488476404,i ka lynɛti,ta paire de lunettes.
ID_17870380476933,sisan n ga tanti do,"alors, où est ma tante ?"
ID_18014453747746,yala aw bi ka angilɛ kan fɔ wa,vous apprenez l’anglais ?
ID_18633486477994,tlera bi tagara wagati juma ?,à quelle heure le déjeuner ?
ID_17362306478526,kilomɛtri kelen sira la,un kilomètre de route.
ID_18405681479174,kunu n tun be jigɛ ɲinina,hier je pêchais.
ID_18653204.74798,i ko di ni n ye gilasi dɔ san?,et si on s’achetait une glace?
ID_17340220480364,mu le b'a kɔnɔ?,qu'est-ce qu'il y a dedans ?
ID_17915020748095,yala aw ka mɛ wa?,vous avez entendu ?
ID_17359089481484,a tun ma lamɛnikɛ,ils ne l'avaient pas écouté.
ID_17407353482018,wagati joli tuguni ?,combien de temps encore ?
ID_18052717482543,n tun bo filɛla ni filɛli ye,je jetai un regard sur eux.
ID_17349707483072,a ye taga ka bɔ yan,allez-vous en d'ici.
ID_19908997483635,a tun ti na furu kɛ abada,il ne se serait jamais marié.
ID_17379715484174,a bi na yɛrɛ yila cogo juma?,comment se présenter ?
ID_17354089484775,nafolo ti n bolo,je n'ai pas d'argent sur moi.
ID_17385721485383,boon fenɛtri,la fenêtre de la maison.
ID_18464637485967,i lanibara ka fɔ ko an kadi ɲɔngɔn ye,tu es sûr que nous aimions.
ID_18053792486515,a ba tɔ kunu na,il avale le reste de la tasse.
ID_17409438487073,nɔnɔ mi kaɲi,c'est bon de manger du lait.
ID_17863339748762,a tun be mi?,où avez-vous été ?
ID_17351812488153,a tɛmɛna yan le fɛ,elles est passée par là.
ID_19364149748869,i ni ce adama deen ya la,merci en toute humilité.
ID_17913040489383,n ti na se ka n yɛrɛ sɔrɔ tuguni,je ne m'en relèverais pas.
ID_18218336489972,an bi angilɛ kan fɔ,parlons anglais.
ID_18122123490516,ji be yi,il y a de l’eau ?
ID_17590059491138,markof bi a lakɔrɔsila,marcof remarqua le mouvement.
ID_18108358491689,an ye a filɛ ka na dimi,"voyons, ne te fâche pas…"
ID_18482925749223,an be a degila a ni ka falen,échange et formation.
ID_17485272492762,lɛtri mugan ni kelen,vingt et une lettres.
ID_17365148493303,sama mugan ni kelen,quarante et un éléphants.
ID_17404630493842,n tinana foyi fɔ,je ne dirai rien.
ID_18177686749444,n ka sumani kɛlan di a ma,je vous ai donné la balance ?
ID_18077167495005,ni wagati tun bi n bolo,si j’avais le temps.
ID_18915068495604,ni le bina a boli.,c’est lui qui conduira.
ID_17402711496152,i bi ni a ka ladialali fɛn di mɔgɔ juma le ma,a qui donneras-tu ton cadeau ?
ID_17680665749677,cogo di e ka cɛ ni don,"comment, tu connais monsieur ?"
ID_18603325497318,a be na to n'an ye.,il demeurera parmi nous.
ID_17352997497852,sama saba,trois éléphants.
ID_17332391498486,nɔnɔ litri demi,"vous, vous êtes aimé."
ID_18459869749937,i ma denmuso diana ye,il aime ta sœur.
ID_18500219500334,i tɔgɔ be mu le ye,comment t’appelles-tu ?
ID_18278389501247,n be sira kaliforni.,j’habite en californie.
ID_17408119502162,i lanibala ko i bi n'a kanou wa ?,tu es sûr que tu aimes.
ID_17790925503088,a be na se wagati juma?,à quelle heure arrive-t-il ?
ID_18441678504008,i ni ce jatigiɲumaya la.,merci de me recevoir.
ID_19792122505286,nin ti anw ka sii da bara ye,ce n’est plus de mon âge.
ID_17334938506263,a be na mɔgɔw wele,il va inviter les gens.
ID_18408179507207,furucɛ nata ka jamu ani a tɔgɔ.,prénoms et nom du futur époux.
ID_18961104750814,a bɔra ɛndu jamana na,elle est originaire de l'inde.
ID_17361605509274,ji te yi,il n'y a pas d'eau ?
ID_174850976.7516,aw yi dɛrɛmɛ misɛniw ta?,gardez la monnaie.
ID_18573232517443,i ko di sinema ko ra,ça te dirait un cinéma?
ID_18652925523882,faligan bi n na. n ta tansiɔn yɛlɛla fo binani,j'ai quarante de fièvre.
ID_17405775525356,sɛbɛ fɛn kelen be n bolo ni kitabu fila,j'ai un crayon et deux livres.
ID_17340216528183,bigɛn kolɔn juma le yi ni ye,quel stupide animal !
ID_17670673529867,an ma lara tumabɛ,on peut toujours douter.
ID_18071211531073,onhon an sɔn na bagɛ marala le,"oui, répondit le fermier."
ID_17339243753317,a ka da yɛlɛ,vous avez ouvert la porte ?
ID_18043342753432,kumakan fɔlɔ a ni kumakan laban,du premier au dernier mot.
ID_17358861.75357,n nisɔndiyara kɔsɔbɛ.,je suis très satisfait.
ID_17961156536767,a tɛmɛna nin yɔrɔ ni na,elle est passée par là.
ID_17356092537982,tabali finman fila,deux tables noires.
ID_18863394753925,a be kulela hali a ma wili.,cria-t-elle sans se lever.
ID_18462884540321,a be tlon kɛ la.,elle est en train de jouer.
ID_18267991754139,nne mako !,moi ?… je m’en fiche !…
ID_17511055542584,n miriya la a kaɲi kɔsɔbɛ.,"c’est très bien, je pense."
ID_17470009543697,wulu den bisaba ni kelen.,trente et un chiens.
ID_18476908544894,n ka n bolo ko.,je me suis lavé les mains.
ID_17358584545912,ɲinigali fɔlɔ,la question principale.
ID_17359689754715,a ka mɔgɔ caman wele.,il a invité beaucoup de monde.
ID_18505709548273,hakilila ɲanaman ti ye,(sourires.) avis défavorable.
ID_18123172549732,kangalida ma labɔli kɛ,la prévention n’a pas suffi.
ID_18064167550802,aa i bé ka jati minɛ juma le kɛ,ah ! et dans quel but ?
ID_17410832551823,na ni fila ye walima saaba,apporte en deux ou trois.
ID_19794885552915,mɔgɔ si tun ti se ka ɲafɔ,personne ne pouvait le dire.
ID_18476758554078,nn ta don ɲanaman,je ne sais pas bien.
ID_18891256.75552,sisan n be k'a ye.,maintenant je le vois.
ID_18500195556262,cɛ simit ye amɛrikɛn de ye,monsieur smith est américain ?
ID_17418736557335,ne delila ka' kanu,"moi, j'ai été aimé."
ID_18225449558348,ayiwa a bi kan ka mɛ lon kɔnɔtɔn la,alors ça dure neuf jours !
ID_17334883559662,nɛgɛguru tan le be yi,il est dix heures.
ID_18179476756074,a ka juma le jabi?,qu’a-t-il répondu ?
ID_17359882.75618,i da le do a la ka bi na diya o ye wa ?,tu es sûr qu'elles aimeront.
ID_17359962562945,kɔni sanji te ka na?,est-ce qu'il ne pleut pas ?
ID_19241055563953,a be ka kuma ni kan misɛn ni ye,elle parle d'une voix aigüe.
ID_17340081565534,jurumu kɛla fariman dɔ,un redoutable pêcheur.
ID_18549378756678,n ye bolo ɲuman tigi de ye,je suis droitière.
ID_17355306568226,malo caman be n bolo,j'ai beaucoup de riz.
ID_17921254569702,a a kungolo dimi wilila n na,ah ! j’en ai mal à la tête !
ID_17422163570767,saan fɔlɔ,le premier de l'an.
ID_18933847571769,a tɔrɔla sifi la,il a souffert de la syphilis.
ID_17334041757281,an ni ce a ka jabilila,merci de votre réponse.
ID_17334034573826,nin tulon kɛ fɛn ɲɔgɔn dɔ be n bolo du kɔnɔ,j'ai le même jeu à la maison.
ID_18022274757504,denmisɛnuw mara yɔrɔ,une garderie d’enfants.
ID_17320562576172,i ni ce cɛ dolɛz.,"merci, monsieur dolez."
ID_17354756577405,a man kɛnɛ dɛ.,il ne va pas très bien.
ID_18000945578516,kɔni n ka lɔn? nne?,"est-ce que je sais, moi ?"
ID_18480936579873,n balima ka kan ka l'on wa?,mon frère doit le savoir.
ID_173795816.7581,f'la wal'ma saaba,deux ou trois fois.
ID_17320613582073,a dun ka mara,elle avait cotisé
ID_17327435583182,tiɲɛ fo si tala,ce n’est pas vrai
ID_17409801584298,nn tericɛ amɛrikɛn le be,mon ami est américain.
ID_17919471585475,a be borila,il est en train de courir ?
ID_17410394758652,wɔru ni tun be yi a ka marayɔrɔla,le chien était dans sa niche.
ID_18019775587614,bon mugan ni duuru,vingt-cinq maisons.
ID_18083307589207,"a tun ba fɔla ɔn ɔn, wagati bɛ la ɔn ɔn","elle disait non, toujours non."
ID_18436126590363,a tagatɔ bɛ filɛ sisan sisan,il vient juste de partir.
ID_19528236591658,a filɛ nin ye n ka fɔ wo.,"voilà, je l’ai dit!"
ID_18641183592812,tulo fitini fila,deux petites oreilles.
ID_18121729593918,bii walama sini,aujourd’hui ou demain.
ID_17406245595112,a be angilɛ kan degila wa,vous apprenez l'anglais ?
ID_18544435596166,karlɔsi tun be dɔnkili lara ka ɲɛn.,carlos chantait bien.
ID_18000115598388,a te foyi kɛ.,ca ne fait rien…
ID_17362336599733,konimuw kaɲi,des choses très importantes.
ID_18920255600813,a bi tabali bugɔ la.,il frappe sur la table.
ID_17333587760208,kana dumuni kɛ caman.,ne mangez pas trop.
ID_18087273.76033,t'i ka vɛɛsi fitini nin dó,va mettre ta petite veste.
ID_18021905604525,nne nana misi kanma.,tu viens pour la vache ?
ID_17486909605653,jon ne b'o ye,qui sont-elles ?
ID_17415683760666,sisan an be jurumukɛra,maintenant nous pêchons.
ID_17735484607727,n taa le bɛ,c’est la sienne.
ID_18834302608953,i bi na mu ne kɛ,qu’est-ce que vous ferez ?
ID_17418777610073,i ɲaa munu i kinibolo fɛ,tournez à gauche.
ID_17973814611148,sariya bɛn kan,c’est un choix politique.
ID_19623315612247,o ka tɔgɔ la ko hasan,il est nommé d'après hassan.
ID_18412634613463,uhon i bi se ka na ni a ye,oui tu peux envoyer.
ID_18653089614732,den laban a ni den filanan o b'e ɲagamuna nn ma,"cadet, benjamin, je m'y perds."
ID_18402788615993,cɛw n ka hakililata filɛ nin ye.,"voilà mon avis, messieurs!"
ID_17711255.76171,fen kelen le te yi,ce n’est pas la même chose…
ID_17746807618182,kumakan keleen nin do,c’est le même propos.
ID_18913865619395,kuma dɔwɛrɛ ti n bolo.,je n’ai pas d’autre argument.
ID_18191861620432,fanga ɲamɔgɔ ga jumɛ?,le commissaire mais encore ?…
ID_17861599621567,maa lankoloń ti song'a yɛrɛ yira,le lâche n'ose pas se montrer.
ID_17334020762263,yɔrɔ be mi,où est la poste ?
ID_18507579762362,a te mɔgɔ sigɛn,ce n’est pas fatigant !
ID_17312721762502,tiɲɛ tɛ,ce n’est pas vrai
ID_18855545626095,waafila ni biseegi ni wɔrɔ,deux cent quatre-vingt-six.
ID_17511241.76271,ɔtɔbru kalo tile mugan ni fila.,vingt-deux octobre.
ID_17444914628164,a bi na diya n ye n dale do a la,je suis sûr que j'aimerais.
ID_18073383629473,ayi n be bara bila,"non, je donne ma démission !"
ID_18476381630515,tan ni seegina,le dix-huitième.
ID_18157068763162,a tora kɔgɔ jira,il s’est noyé en mer.
ID_19756166632704,a cogo ya jati minɛ,son attitude s'en ressent.
ID_17747519633739,jyl melin sira saaba,trois chemin jules méline
ID_18672900634907,muso nunu bi se ka dɔ bɔ o yɛrɛ la.,elles sont au régime.
ID_17836329636144,sama den mugan ni fila.,vingt-deux éléphants noirs.
ID_18697180637239,a nisɔn mandi kana maga a la.,"touche pas à ça, malheureux!"
ID_17767000638555,nne ka bara kɛ.,j'ai à travailler.
ID_17334734764004,mɔnikɛbato.,le bâteau de pêche.
ID_18065155641191,a datugula dimansi lon.,c’est fermé le dimanche.
ID_17445357642307,n ka kan ka kɔnɔ.,je dois attendre ?
ID_19256825643385,jɛnɲɔgɔn fila sara ka to den t'o bolo.,le couple meurt sans enfant.
ID_19787714644494,sanga ba de bi zapon.,c'est un gros succès au japon.
ID_18893313645476,ji beyi wa?,il y a de l’eau ?
ID_17356125764648,an bi mɔgɔ hakɛ joli,combien serons-nous ?
ID_17343693648509,sukaro bara f'la bi'n bolo,j'ai deux paquets de sucre.
ID_17364581764997,o tun nana siginan t'o bolo.,ils étaient venus sans chaise
ID_18408476651114,an b'i balimamuso fɛ.,nous aimerions ta sœur.
ID_18657623652335,ayi ayi foyi tɛ sa.,"non, non, rien de tout ça."
ID_18298053765342,annu te soli ka wili.,nous nous levons tard…
ID_17355765654574,juman lo diyara aw ye ?,lesquels vous plaisent ?
ID_17413952765561,a nana mɔnbilila,il est venu en bus.
ID_17792672.76567,kɔngɔ bi n na,rue du mont rôti à preures
ID_17756689657874,ne bi fèga ta so,"rue fegui, limours"
ID_17931558765916,n fakɛ ka sisɛ.,rue du puits drouet à chartres
ID_17915168660446,n baw fora a ka kɛwalen ɲumana,les gourmettes cliquetèrent.
ID_18006686661722,n bi na ji min,"or, tant l’article l."
ID_18725949662826,ayiwa an bi ka taga ni bara ye ɲafɛ,cours du berteuil à valréas
