ID,dyu,fr
ID_17452640458633,ko ni jeni muw sii da sera sans mugan na,0
ID_17315114346023,an mako bi wagatila,0
ID_17441848346136,an be yirideen dumuna,0
ID_18335425462477,wa anw ni ce,0
ID_17845246463552,otɛl kɛnɛmana,0
ID_18262976346486,nn dalebala k'a bi na diya i ye,0
ID_17721516465989,cɛɛ n be kalen.,0
ID_17821443467088,i lanibala ko a ba fɛ wa,0
ID_18000481468175,i be boli ni teliya juman ye ?,0
ID_18605003469548,eduari ko i k'a minɛ.,0
ID_17339951470669,i darala k'a bi na diya o ye wa?,0
ID_18046734347169,n se tɔ le ye lu kɔnɔ.,0
ID_17867029472676,mina malo bôrô san ni kalo ni nan,0
ID_19800468473673,bara ni ka tchia,0
ID_17745227474672,jikɛ mɔgɔdɔ ko a bi se ka kɛ,0
ID_19203355475907,a ka barada ye avokaya ye.,0
ID_18432806347694,an ka baro ɲagamina.,0
ID_19750390477955,sirabsuruɲɛna,0
ID_19717792479416,hawa ka ko ɲanin ɲɔgɔn bi sɔrɔ,0
ID_19726173480668,o y'a tilan sigiyɔrɔma saba naaninan.,0
ID_18055040481822,nin bɛɛ yi galon ne ye,0
ID_18814562482883,o yi maraci gilan,0
ID_18149147348391,dusu faga,0
ID_17407707484902,a bi se.,0
ID_19607909485923,nin tigira mɔgɔni bi hakili dɔ dira a ma,0
ID_19406595487167,a ɲagɛ mɔgɔ tun ye asan sɛki ye,0
ID_18193045488228,n balimamuso a fɔ n ye.,0
ID_18509017350531,an ni wula an ka kalanɲamɔgɔw.,0
ID_17408815506694,o bi n'a tuma juma,0
ID_19826567350786,a son man gwɛlɛn mɔgɔ tara,0
ID_18217346350925,n kɔrɔtɔ ni lo a ka segi kana,0
ID_17674998.35105,a flɛ fa lo bi ra,0
ID_17343657511424,lɔgɔfiɛni bi lɔ lamusa lon,0
ID_17340690512287,a ka jugu ko jugu,0
ID_18720100513162,a ta bagaw taara.,0
ID_19615207514426,a ka kɛlɛlaban le ye nin ye.,0
ID_17353344351557,sama finman den mugan ni fila,0
ID_17410670351663,sigi yɔrɔ nɛrɛmuguman wɛrɛ,0
ID_18499346517663,n ka boɲɛ bi'o ye,0
ID_18147545541744,n kakan ka barakɛ,0
ID_19484018354736,niyɔrk noɛl lon wulafɛ,0
ID_17961164354866,golɛk sira jati yɔrɔla,0
ID_18000401550217,a sɔngɔ ka ca kojugu,0
ID_17506200551352,a cɛkaɲi yɛrɛyɛrɛla,0
ID_19872691355244,mai sera ka kisira,0
ID_20024632553708,seba y'a ɲagamina,0
ID_18058539554678,kalan min ka kan,0
ID_17366483555694,waribilaso yɔrɔ ka jan.,0
ID_17334749556805,tulokɛ sera i ma,0
ID_17782623558054,lisiɲi sornai ka sira,0
ID_19607886559785,a yi dɔktɛriya sɔrɔ,0
ID_18087638560998,wulafɛ nigɛ tayan wulonfilanan.,0
ID_18902760562088,ka to a ma darakan di,0
ID_18910746563156,fɔlɔra anw ye kow kɛ min ma faga,0
ID_17443292356419,a bi yèlèmana,0
ID_18699398565419,abè na ki le tan a ni kon non ton,0
ID_19701294566492,aba filè la kodjougou,0
ID_19954712567853,ko nounou da siri,0
ID_17507532569238,obi mi?,0
ID_17332265570511,a ka bon ko sêbê,0
ID_17802702571646,a ka livrou,0
ID_17406552572736,ini o ti yongon famou na,0
ID_18128223357383,bâ konon bi yèrè,0
ID_17713981574913,musodeenmi ja ka gwɛlɛn o bɛra,0
ID_17307511575962,a ni ce kursɔn cɛ.,0
ID_18730092577201,aw a kagni,0
ID_18809212578258,a tun bi tulon kɛra ni an ye.,0
ID_18230125579905,mourou non lo,0
ID_18914208358102,a bi n'a bɔ a ka kalifa bon n'a,0
ID_18346272582094,mesie fernan,0
ID_18166259358307,an ka ko nunu latilan.,0
ID_19607685583984,a tun ye yɔrɔw sɔrɔ atlanta.,0
ID_19311073585072,o bi ɲɔgɔnkunlamɛ yɔrɔ kɛra primoriye.,0
ID_19586334586211,a ye sigi a sen kan.,0
ID_17299401587291,a man caa ka se o ma.,0
ID_18047724589005,jabarani flɛnan ka di ne ye,0
ID_18915091359038,son kuntanw ba ra,0
ID_19493782591464,kazak siti y'a bɔyɔrɔye,0
ID_18684222.35925,tao be sanu bɔ yɔrɔ la.,0
ID_18906076359353,an be tara,0
ID_19737784359459,tabali bilara,0
ID_19485837595612,a ɲɛna ripɔst kenedi,0
ID_18610323359668,n ti nin fɛ.,0
ID_18022509640647,an ka bori,0
ID_17903030642263,n bi na weele,0
ID_17470008643775,n bi fɛ ka teliya sisan,0
ID_19797724364501,i bi na kila ka sogo ni ta,0
ID_19847331646142,yupiii a kaɲi tan,0
ID_18511675647203,mɔgɔ mugan ni wɔɔrɔ,0
ID_17441853648229,a pan nà,0
ID_18497574649778,a yi papie dɔ di a ma,0
ID_18894524365088,dayɛlɛla nin bi ni a dɔgɔni ye,0
ID_18402598651898,a ma see ow ma,0
ID_18337425652892,a bi n'a kɛ i dɔgɔni fɛ,0
ID_18046041.36539,mɔgɔ min ti gwɛrɛ bi sɔkɔ,0
ID_17458708365515,a ka gwɛlɛn,0
ID_18390694656194,ɛlvi muri ka sira,0
ID_18062626657327,kana na yan,0
ID_19977990658369,a bi sé don na yananma,0
ID_18388692366153,bolo fara na yonhon kan,0
ID_18490766663476,i dani do'a ra k'a bi n fɛ wa,0
ID_17752342664718,a sera ka don ka kɛ fɔlɔ ye,0
ID_17525637665862,nin ka ɲi.,0
ID_18475869366697,a bina kɛ i dɔgɔni fɛ.,0
ID_18053523668106,kɔrɔsigibaga ye seen gosi.,0
ID_18864067670146,n kanɲi ka n yɛrɛ yira,0
ID_17359898671296,n kaɲi ka n yɛrɛ yira,0
ID_19729501672633,a y'a jɔyɔrɔlon sée tan,0
ID_18014424367378,godɛn ka muso mun lo beyi ?,0
ID_18661063674867,a ta ye ka a kalan.,0
ID_20032041675911,jɛnɲɔgɔn ti sanpenu fɛ.,0
ID_18014698367692,a tɔgɔ ka fɔ.,0
ID_17721282678026,n yi mɔgɔ duuru ye o cɛma.,0
ID_18910747679593,siniyansigijan.,0
ID_17379835680644,fanga bi a ra,0
ID_19800411681786,ne la boon donda le,0
ID_18824854682792,nne min ya fo ka n kan kɔrɔta do,0
ID_18922397683734,un ka na devoir labab,0
ID_18280399684678,kalan sira naani,0
ID_18824354685567,i ye n tɔrɔ ka tɛmɛ,0
ID_20036022368655,jɔn le ? a y'a fɔ klopɛn .,0
ID_19533785687472,a kagni,0
ID_19581963688364,a filɛ ni siri bala,0
ID_17408782689802,mɔgɔ danganiw.,0
ID_19156449690765,o ka gilanli fari golola,0
ID_17409193369195,sunguru jamanjan.,0
ID_17411136692992,ala yafara aw ma.,0
ID_17418869693957,sigilanfitini wɔrɔ.,0
ID_19579590694992,"faa ye, faa ye.",0
ID_19604119695974,a kɔnɔ waganin lo.,0
ID_18625065696935,a kun b'a dimi.,0
ID_18538861697913,florence toumbi len kèra,0
ID_18096580699133,enjolas ko demissèni nounou,0
ID_17805119700197,i da bɔ a la.,0
ID_17365456701148,den nin lo bi tulon kɛ.,0
ID_17418959370241,jigɛminɛra fari,0
ID_17408855703334,a tun bi min ?,0
ID_18335424704238,a ye a ye min sɛbɛ.,0
ID_17346417705146,sèbê lé,0
ID_17409475706045,ayé doumou ni kè don doni,0
ID_19870183706896,a fatchè yi kibaria di la yé,0
ID_19950489707745,lilienfel lo ya ka douhou yé,0
ID_17836687708673,ee bɛn an bi se ka kɔnɔlikɛ,0
ID_18052980714192,ɔnhɔn a kɛ la.,0
ID_18063883715143,cqnari mougan,0
ID_17701366371593,rené panix ka sira,0
ID_19371942716536,fini wolola emili romani,0
ID_19438639717093,a dencɛ ploleme bilara a nɔna.,0
ID_18742735717692,aw lou yi djon yé?,0
ID_17961870718245,a ka ke gou,0
ID_17749630719096,a ye sɛzi keleen di a ma,0
ID_17962629719902,a yi ka kle dian,0
ID_18901487720477,ka bi n'a kɔsegira,0
ID_17588883721042,o tumana aw y'a furucɛ le ye wa ?,0
ID_17364568721592,a bina da yɛlɛ tuma juman?,0
ID_18487494372226,bina sissan,0
ID_17353521372306,a tou y'a fo fa bi yèlè,0
ID_18441533372363,a sera,0
ID_17551309372417,a ka ɲi ka ɲɛn.,0
ID_18029370724709,livru bi tabali duguma,0
ID_17358219372524,bɛngɛn mugan ni duuru,0
ID_17384743.37258,kɔnɔni,0
ID_18420477726344,deenmisɛnni miw tun bi sirana ɲɛ y'o ɲamalɔ,0
ID_19710939726876,o y'a faga l'île saba tɛmɛni kɔfɛ,0
ID_19755368727424,a ka kunsigi mɛsi nunu yera vatiri kɔnɔ,0
ID_17324872728251,sɛbɛri yɛlɛma la ma se ka bɔ,0
ID_18894544729432,n seen bi yɛrɛyɛrɛla farigolo ka bugɔ ni kɔsɔn,0
ID_19417369730133,o fagan taga fan boɲɛna nin a ye,0
ID_19856163730729,o ti barakɛ ka bɔ ɲɔngɔn kɔ fo ka tle ban,0
ID_18293222373128,manetusɔrɔ sira watan ni seegi,0
ID_19607262731825,romanasɔn ye ruman ka kumakan dɔ juruden ta,0
ID_19531979732436,lirɛn bi barakɛ yɔrɔ kura ra,0
ID_19632032733037,kɔnglomera mahɛndra ka barasigida le.,0
ID_17726553373358,lale ka sigiyɔrɔ sɛz,0
ID_19502265373414,etamin farani a kan,0
ID_17373531734808,bisaba ka ɲɔgɔnbɛn,0
ID_19279412735378,mogo si gi yôrô,0
ID_17926692735964,sabari la toutou n kô,0
ID_18751514373652,alà ka i wolo low fêti dia,0
ID_18686693737063,ko foyi,0
ID_18091646737628,vovɛr ka galinan burz .,0
ID_18113756738167,"sɛn tigal sigiyɔrɔ, laval .",0
ID_18802511738904,nin a be ji min.,0
ID_19798889739753,a kulera ko kalanfa,0
ID_19865003740401,a ɲamɔgɔya tradi ofis de spɔr le man o san,0
ID_19541132741078,dogo yɔrɔ yemandi ni kurunina,0
ID_17651668741636,gourville sira kan,0
ID_20015965374217,feen kɔrɔ dogoni foyi ti se ka fan fila datugu,0
ID_19735016374282,ekipe besɔn sosure sojasun tilara witiyɛme placi le ra.,0
ID_20019692743362,a ka famu y'a ni sigi nin bɛ ɛnperatif de pretorizatiɔn na,0
ID_19417924743913,a degirira joona ka tɛmɛ ni mɔgɔ ye epi a fagan ka bon,0
ID_19761759744519,stadi miniw bisera ka jaama ta kelen bɛɛ farani no a ka,0
ID_18545968745062,larafa lɔgɔ bi n n'a kɔsɔbɛ mɛ a ye kamele wɛrɛ sɔrɔ,0
ID_19706383.37456,djènèya ti kè yanyorô la dè,0
ID_19642008746135,toma flanagan sɛkɔra a kan ko proze filea fɔg ko ɲa foyi t'a ra.,0
ID_19788384374677,o tara dun sigɛsigɛriw kɔnɔ ɔrbit,0
ID_18097833747344,an y'a lamaria an ga se ka ka miriya fɔ mankan damanina,0
ID_19527781747911,a saara a facɛ ɲɛ kasɔrɔ a ma den sɔrɔ,0
ID_17864339.37485,klasi segi zozef kutɛl .,0
ID_18730834749485,madam ko fo sɛn zɛrmɛn .,0
ID_18562646750067,ko min toi gou râ a kow,0
ID_17801241375061,jɔn ne ye aw ɲiniga,0
ID_17835619751144,sèbè li djan dô,0
ID_18168544751686,anw yi gosi kan dɔ mɛ.,0
ID_18540089375222,walisa n da ni bɛ aw ra.,0
ID_17418731752975,n b'a lɔn kɔsɔbɛ n ka min fɔ.,0
ID_18026904753557,a kaɲ a ye kuma tiɲɛ sira kan,0
ID_17704618754103,a kaɲ a fɔ,0
ID_18439204754642,kounou o toumbi djigê minè na,0
ID_19793216755178,en tou ma la a la,0
ID_17946540755708,a doña ni ya djougou yé,0
ID_18018235756237,"aka fissa,ini tchié",0
ID_17955669756795,cafode ka sira wolofila,0
ID_18487323757324,ibi moulo doumna dô,0
ID_18049335757899,o bi da gossi la,0
ID_19678412758528,mogô min be dôrô mi aka kènèya bi farassi la,0
ID_18270052759527,krevɛn ka sira bose kɔnɔna na.,0
ID_18074798760126,i larara ko a bina diya a ye?,0
ID_17822729760679,a bi sɔsɔri kun bɔ jati.,0
ID_18925105761234,yɔrɔ naani bi kɛnɛgɛ kɔnɔ,0
ID_18095891761804,jan jaama kuntigi y'a kɔnɔ,0
ID_18110845762343,tile ye hɔrɔncɛ le ye.,0
ID_17333394376296,an tun bi tagara min,0
ID_18462260763487,a bi barakɛ ɲanama,0
ID_18899338764062,aminè aké bi yoni kali kèra,0
ID_17470819764715,ne ka kènè,0
ID_19776970376526,a yengi la ni kalo dourou kasso sigi yé,0
ID_19709452.37658,bibi ni na a bi balo la tirana,0
ID_18814666766332,an bi n'a kɛ kɔɲɔn sora,0
ID_18902440766859,orbey ka tama sira mougan,0
ID_20005660767643,sissan a ya daminè ka toga film tourné,0
ID_17808812376821,a toun bi siran ne yè,0
ID_17432302769002,i lara râ ko an bâ fè?,0
ID_19947311376972,galon alé ni tien tchè,0
ID_17954631770275,faou ka dougpu,0
ID_17767903377093,a bi fantan tasuma kɛ ra.,0
ID_17964874771489,a minè dougou bâ lo,0
ID_18126863772044,delna ti fé wa?,0
ID_18062620772664,kèlè yamogô ma,0
ID_19602391377321,ta cɔgɔ gansan!,0
ID_18049165773756,badine ka taama sira antibes,0
ID_19097447774285,djigi tigè ka bow,0
ID_18888601774817,an bi nɔgɔ ni an ka denw ye,0
ID_17726339775356,n ka ko ɲɛ na fo sisan.,0
ID_18464461775895,bahad kanpɛr ka fɔlikɛlaw,0
ID_17362349776548,i kɔrɔmuso tun ka di anw ye.,0
ID_17307565377711,aw y'a dari ni jagwɛlɛya ye.,0
ID_18169599777683,biju kelen di an ba ma,0
ID_19386797778214,an bɛɛ tina se.,0
ID_17408831778875,jonlo bi nana aw dɛmɛ,0
ID_18831142779473,"yoyo clan ko,ne ka sira tara",0
ID_17365718780005,ayiva na lolé yan,0
ID_18445092378054,famatigi tun b'a boɲɛ.,0
ID_19682605781073,a lon dugusagɛ o y'a wele mɔgɔ da nunu cɛma,0
ID_19791189781614,soudjan lo bâ kôrôssila,0
ID_18154288782265,n tina se o ka galontigɛ ko nin na galontigɛ ko nunu bɛ.,0
ID_19718675782926,o y'a filɛ bolitumana ka ye ko fɛn ni tun bara,0
ID_19766395783472,a farani lo mɔgɔba kɛn katpɔl la.,0
ID_19638967784015,sisan a ka kɛ sirinam ni guyana ale ni guyane lo tora k'a fɔ.,0
ID_19719034784556,fɛ cɛɲuma dɔ tuma sera,0
ID_17930374785086,n facɛ ma kunafoli labɛn n'a ni san,0
ID_18118500378562,an bi n'a dumini kɛ y'a ni dɔɔni,0
ID_17383774786154,an ka papier saba,0
ID_17320479786685,a bi gêlèya kouma fora,0
ID_18217341787236,a bi mun le dayɛrɛ la ?,0
ID_17809453787904,n tun b'a fɛ k'a faga.,0
ID_18138350788452,a tun yɛlɛ la tuma dɔ.,0
ID_19452565378911,mogô tchama lo bi a kala ma,0
ID_19741269378966,o bi donkili dara,0
ID_19016488790193,ayi môgô saba filè,0
ID_18475351790736,a bi yɔrɔglanni kolore jona.,0
ID_19798808791318,a ka ca ni i ɲa bi min n'a ni ye,0
ID_19793652791869,a ba nɔrɔ a yɛrɛla tuguni,0
ID_19798135792472,sisan a bi taga a keleen,0
ID_18446322793025,ɲaden kɔrɔsilan do n fɛ,0
ID_18410319793662,o talo tun,0
ID_18441508794205,n ta bi n'a,0
ID_18726550794765,ani jana ko,0
ID_18408908795295,a ni sans kuraw,0
ID_18486300795824,sissan a bi gigê minè na,0
ID_17948261796356,mbi ta daboala,0
ID_17737553796873,jɔn le kunafoli nin san na ?,0
ID_18876484379742,a bi a kɛcogo filɛ.,0
ID_17359457797958,n sigiyɔrɔ labɛn nin lo ka bila.,0
ID_18049870379849,a y'a yɛrɛ ta ye sisan wa,0
ID_18697918799245,i lani lo a ra ko a ba fɛ,0
ID_18214852379979,a bin'a sara cogo di?,0
ID_19001823380032,a bɛ bɛna a kan.,0
ID_18077322800855,a bi kumana kɔnɔna nuguw bɔ cogo le ra,0
ID_18331212801394,kununa sini kɔfɛ n tu bi nin ka tiɲɛ ye,0
ID_19202204380193,a faga la temin ka kèlè touma nan,0
ID_17309290802545,a ye laɲɔrɔ lɔni kura nununw da filɛ.,0
ID_19598240380312,tuman sabana fɔla sisan.,0
ID_19156419803692,o kèra di ki ka so na ni tien,0
ID_19803585380426,a tun l'on ni lo ko sirana drɔn le tun ta kuma ta,0
ID_18064097804915,a bi bolila le,0
ID_18161446805475,wabɛn vɛrtɔn ka sira.,0
ID_19414653806026,yɔrɔ dɔ be makɔn bolo a be bato garde ji kan.,0
ID_17946671806577,meyz nexon la sira lo,0
ID_19848307807118,depi tumajan dɔnkilidabagani a yɛlɛma na itali,0
ID_18835929380768,randonɛr nin a le glise ra bɛrɛ kan ka se ka tɛmɛ kuruba dɔ san fɛ.,0
ID_18224770808234,bako ka kartiye zero nɛf truwa san lɛgiyɔn .,0
ID_19602202808892,oka gasso môgô toumbi politique la,0
ID_19794958809466,a toun presseni lo walissa ka kele sôrô,0
ID_19604089810034,siclisiw bɔnaw bi se ka fa walima o ti fa,0
ID_20007659810682,a bi ko thcama daga,0
ID_20024386811228,la ila en bi na a sorô,0
ID_17755767811781,a bina kèdi,0
ID_19655890381236,a fana toum bi gningon dan ni la salo,0
ID_19634062381298,a ka wayagi ka ça venise ale ni kɔntantinɔpl ra,0
ID_18057355813565,tumani dɔra mɔgɔw ka nata bɛɛ bi lɔn,0
ID_19731552814135,a kɔnin nafa bi se ka kɛ mɔgɔ ka kora tuguni ni sinɔgɔ y'a minɛ,0
ID_19715435814704,komin mi bɛ peti lan n'a ka taga man ka dougoura,0
ID_19376579815272,an fɛ nunu ka mɔgɔ cama tun bi bɔ granbar,0
ID_18252661815827,"musosaramani ɲanamani dɔ, o y'a akize.",0
ID_18067128381648,aka kô man nôgô dè,0
ID_18008777817034,ambina dèmè,0
ID_19375424817608,mohamed tara fo marachech,0
ID_19120177381816,aka akili ya yèrè son,0
ID_19716280818693,luynes ka negropol,0
ID_18005870831465,miri kagni kodjougou,0
ID_19729745832471,o ya soutra kamilac ra,0
ID_19751999833408,samiylov boli la,0
ID_19249960383472,a lon na aka barada kama,0
ID_18073652836148,un voté râ cisse yé walassa en ha êrê sôrô,0
ID_18004679383783,vin kama mademoiselle,0
ID_19593400839252,o bi bara kè informatique ra,0
ID_19631345384069,an ka historien tounbi héra,0
ID_18045417841887,foyi ti se ka kɛ mɔgɔ bi sinɔgɔ. mɛ wo mun mankan lo ye ten ?,0
ID_19734482843246,kabi o touma ni nan o yi charia ta,0
ID_17321068384448,nan yi filè lo kè a bi na famou,0
ID_17714388845737,sira min bi sɔrɔ quartières bouaye la,0
ID_19751105846698,a y'a ka bara bɛɛ kɛ etazini jamana n'a degansɛri ya la,0
ID_19668197847742,sénè kè la dow son magni,0
ID_18239684848977,cin min bɛ alfrɛd mod ra,0
ID_19096775385025,ayi a bila ka ben chongo na ni,0
ID_19767168851264,a bi se ka lunèti sôrôw,0
ID_19946220851893,doni ni a bi sara obiɛn gansa obiɛn a bi ɲagami,0
ID_18848791852482,anyi an djiugou kèmè ni tan ani dourou minè,0
ID_19956008853056,a son a o ye baara mi fɔ a yaanā,0
ID_19711022385361,depi tuma jan a y'a yɛrɛ di pɛntirikɛ ma,0
ID_19220141854158,a kɔnɔ sisan dɔtɔrɔso be'i barakɛ yɔrɔ dɔ fana be'i min be banabagatɔ gɛlɛnw ta ale ni faatɔw,0
ID_18637319.38547,brisbani ɲada ka yɛrɛyɛrɛ,0
ID_19529425385523,ni kini na sodassi ou ka kabourou beyi,0
ID_19692280855765,kibaria dit la ni tôgô ko hayman,0
ID_19801765856432,nɔrmanvil be yi kuka jaama kɔnɔ,0
ID_17823563857174,min yi bɔnni na o b'a wele janfa.,0
ID_18281942857841,a ye mugu ɲini ka gilan la sɔrɔ ka tigɛ,0
ID_17679188858383,a ka sɔrɔ ka jigɛ minɛ,0
ID_18463863859265,a diyara an ye,0
ID_19795530859892,a ye a tun t'a yɛrɛ boɲɛn.,0
ID_17897092386045,a be kumana dilan fɛ.,0
ID_19745909860993,mɛri tɔgɔ le ye antonio silva,0
ID_19708389861535,a bi gɛrɛn kelen na,0
ID_17768096862073,"a sɔnna a ma, ayiwa a y'a kɛ.",0
ID_19651783386529,ɲagalengwɛlɛn cira.,0
ID_18060873866923,kɛlɛkɛmuruw tun bi firinfirin na.,0
ID_17826079386796,sɛn tiyrian kɛntɛn ka sira,0
ID_18911257868616,i bini i ka boɲɛ di jɔn le ma?,0
ID_18468828869383,a ma jaabi di.,0
ID_18719222387009,hɛrɛ tun bi karti,0
ID_17402106.38707,lilin yɛrɛ yɛrɛ.,0
ID_17399418387129,kalan déni nounou lo,0
ID_17402998387197,aw t'a lɔn.,0
ID_18046453387263,a bi na da yèlè wa?,0
ID_17418734873398,mɔgɔw ka lu le,0
ID_18006265874285,aa bilasirali mɔbili nunugu le bi tɛmɛna,0
ID_18076093.38752,a tɔ kɔni tun ye tiɲɛ ye,0
ID_19026190876176,o kɔrɔsi la o ka kocama ko kɛkotaw la.,0
ID_18933869877206,mi fu ka miriya la li sɛng ye a ladeli caaman sɔrɔ.,0
ID_19272636879037,gɔrg jakɔb stek le kɛra projet nin tigi ye,0
ID_18126753879888,masiyak ka sira be ribeyɛr .,0
ID_19977831880472,jumakolo yɛlɛmana jona ka kɛ kɔ ye.,0
ID_17918492881032,a be malice ka kouma kan me na wa?,0
ID_18056253881578,"finan ka sira, le man kɔnɔ.",0
ID_17343751882358,i dɔgɔmuso ko diara an ye,0
ID_17890942882964,a sanu cɛɲuman nin.,0
ID_18170325883514,déni yi o ka kulo ni dia,0
ID_17633219884077,kaboulo ka sira bi bara la,0
ID_18226652884618,"hotbrou ka sira, barjouville",0
ID_17852352885162,ni koni a ma dafa,0
ID_19541636885694,o ye ɲɔngɔn kunbɛn kolfak marala,0
ID_19606360886237,a ka tɔgɔ bi bɛ mɔgɔ miniw ye k'o ɲanaman kɛ dugura ni kɔnɔ,0
ID_18481440388679,pardi tumu nin mɔgɔkolon le.,0
ID_19997608887353,ayi bara sôbê lo sôro,0
ID_19682158.38881,ale lo yi roman ni sêbê,0
ID_18452186888652,alah doron lo bi an dankan lon,0
ID_19788299889596,a yi san tan kɛ rɔm n'a,0
ID_17583476890183,dugu dugutigi yɛlɛmana,0
ID_19949001890755,n t'a fɛ buto ko ten.,0
ID_17364730891344,nunusɛbɛ nunu y'an ta ye.,0
ID_18047550891916,alɛn savari ka sira fanfɛ dijɔn la.,0
ID_19761637892505,o faranna a yɛrɛ ma mɛ,0
ID_17946729389306,brosar min baana ka muso,0
ID_18389535893607,gabriɛl maso ka sira,0
ID_18053826894262,andre fose ka sira langurla kɔfɛ.,0
ID_17350736389481,sɛbɛnɛrɛmani duruni.,0
ID_18150490895347,matuba ka sira sɛn klod ra,0
ID_17804672389597,bɛl logis ka sira lomaɲ kɔnɔ,0
ID_18154506896523,max blɔnda ka yɔrɔ krɛn n'a,0
ID_17805115897061,sofi biri ka irma,0
ID_17962625897672,peletan ka sira wolonfila fanfɛ,0
ID_18386270898227,sui ka sira peyimenad kɔnɔn,0
ID_19666491899047,a nɛgɛ bɔra,0
ID_18023369899806,n ti foyi yera,0
ID_18173402900547,a bi sigi yɔrɔ fanfɛ dɔ farala kan,0
ID_18255047901107,karfa bɔra anw kɔ,0
ID_18143406901653,a ka a yan sisi.,0
ID_18057348902183,m bâ la minè,0
ID_18726485390392,fo o yi ne bizu,0
ID_19165361904982,eglɛzki wolola mɔsku .,0
ID_17378543905635,degi li kiunba,0
ID_18091465906336,nin ye ne fɛ nafaman ye,0
ID_19781949906991,sɛn ka inivɛrsite.,0
ID_17920363908017,rosɛt ka sira min be su,0
ID_18294409908951,jak baraja sira kelen,0
ID_17977519909862,sira mon bɛ gɔkur orlean,0
ID_18325305910441,sira bâ bi paris,0
ID_183919747.3911,sira tan ani wôrô,0
ID_18482782911555,i faa ka jan.,0
ID_18127964.39121,n bi n yɛrɛ jalaki.,0
ID_17822070391264,alze ka sira biwolonfila ani wolonfila.,0
ID_17882930913236,ɲanamaya lafaralikɛra,0
ID_17433634913834,ale tun bi filɛni kɛra le drɔn.,0
ID_18331210914392,mɔgɔ minuw bi tapi lani ɛ ski o kilara wa,0
ID_18113289915055,coterel ka sira tan ni worô,0
ID_18812211915615,nin sɛbɛni nin yi jɔn t'a le ye ?,0
ID_18463655916152,ne balimancɛ ka ɲi ka nin lɔn.,0
ID_17316308391671,nin bina bara ne ma.,0
ID_18265891917327,aba! aye! aye!,0
ID_18071283917887,ernest ma se ban wa ?,0
ID_18077397918428,yɔrɔ gwan ni non bi,0
ID_17340845919349,a ka gwɛlen,0
ID_17448187919952,sama den binani ni fila.,0
ID_18471353920496,ne toun bâ kaniu ana tchogo bè,0
ID_18185815921206,a bi siga la fen dô kan,0
ID_18133735392176,oh bassi tara,0
ID_17364799922296,bi yé dimachi yé,0
ID_19485386922844,ne ka gwili kɔsɔbɛ wa?,0
ID_17379811392342,n ma koya bi minɛnw na,0
ID_19119693923967,ko a boro koulo lan,0
ID_18486303924499,yiri wooman bi siradala amaz,0
ID_17785196925028,sɛnt ryf ka siraba nin be aviɔn,0
ID_19869475925614,kotɛmɛninw bi ji dara.,0
ID_17459586926153,ɔnhɔn tiɲɛ le hɛkɛ ni kaɲ,0
ID_19775205926785,pari ka bon nin yi gɛlɛkala ye.,0
ID_19707296392741,courou ni ma delé ka datou gou ka yé,0
ID_19737856927956,ɛmji bi lim na.,0
